标题或正文,投前互动量,投后互动量,总互动量,总投放金额,综合CPE
是哪个雪友还不知道它？,3,42,45,200,4.44
滴滴巴士滑雪专线,3,63,66,200,3.03
滴滴打车今天我封你为大哥！,77,138,215,200,0.93
处处都是人间温暖～给滴滴小哥点个赞,0,48,48,200,4.17
滴滴司机只说英文,41383,22702,64085,6000,0.09
求官方翻牌子,12,69,81,200,2.47
告庄到中科植物园的大巴，强烈安利大家去坐,6,26,32,200,6.25
中科院植物园回程路上，很值超值,34,49,83,200,2.41
西双版纳雨林之心号怎么购票,35,111,146,200,1.37
求问大家，为什么1月3号西双版纳的滴滴巴士,89,30,119,200,1.68
去山野|雨林之心号拿下！,5,24,29,200,6.9
收到一封来自雨林之心的信,10,21,31,200,6.45
雨林之心的工作人员真的很全面❤️,6,38,44,200,4.55
为了集齐雨林之心的冰箱贴，想每周都去版纳,6,27,33,200,6.06
点赞雨林之心的冰箱贴❤️💌,8,15,23,200,8.7
雨林之心号唯一缺点：游戏时间太短了！,8,27,35,200,5.71
晕车人看过来！这45分钟我居然没晕！,4,42,46,200,4.35
雨林之心的周边，精致到我想要全集！,6,40,46,200,4.35
因为NPC小姐姐，我对这趟旅行好感度拉满,4,39,43,200,4.65
雨林之心的司机大哥，好评！,9,23,32,200,6.25
云南的大巴车里长菌子了！！！🍄,4,52,56,200,3.57
感谢滴滴听障司机 43分钟送到大兴机场,41,2083,2124,1200,0.56
果然滴滴女司机的车都是香香的,0,591,591,700,1.18
滴滴巴士，就是巴适！,0,368,368,700,1.9
星期六早晨坐上滴滴巴士去崇礼滑雪啦！,0,73,73,200,2.74
网约公交车,2,77,79,200,2.53
司机姐姐说这个功能让她们更自觉,354,3312,2958,800,0.27
打到“侠女”的车了！！,50,1169,1119,800,0.71
哈哈哈第一次打车打到装饰这么隆重的士🚕,3,15,12,200,16.67
滴滴打车偶遇,0,47,47,200,4.26
滴滴优先呼叫女司机选项真是伟大发明,20,1290,1270,800,0.63
她给了我一颗糖🍬,5,93,88,200,2.27
滴滴其实还不错，至少还想着做事,8,24,16,200,12.50
坐标常熟，宝宝巴士来接我啦,12,24,12,200,16.67
坐滴滴还送香卡呀,0,7,7,200,28.57
我家狗子觉得自己是最帅的狗,4,62,58,200,3.45
昨天滴滴打车，选了女性友好专车～,3,77,74,200,2.70
你的五一我的五一好像不一样,2,400,398,400,1.01
打到这些女司机的车，算我有福！,12,146,134,200,1.49
异地恋分别，被滴滴出行狠狠治愈了✨,17,49,32,200,6.25
那个选项我早就打开了，没想到今天真用上了,39,1032,993,600,0.60
打到了一辆很不错的车,4,12,8,21.7,2.71
在波哥大打到滴滴宠物快车🇨🇴,2036,2994,958,490,0.51
一个女司机的无声温柔,11,267,256,200,0.78
网约车碰一个到新疆司机,7,138,131,200,1.53
好可爱的滴滴司机,5,51,46,200,4.35
我爱滴滴女司机,14,235,221,200,0.90
新时代女性的安全出行,67,304,237,200,0.84
偶遇同担,2,252,250,200,0.80
记录在北京遇到的善良司机姐姐,17,237,220,200,0.91
他说这是他接过最乖的乘客,32,363,331,200,0.60
🍄我有一个很爱很爱很爱我的小狗,26,159,133,200,1.50
首尔演唱会散场打不到车，一个阿姨说：“我女儿也追星，她现在在美国”,32,161,129,200,1.55
曝光这个滴滴绝世好司机,16,108,92,200,2.17
家人们！必须要给滴滴宠物专车狠狠点赞👍,17,50,33,200,6.06
纪念我在北京打车遇到的老派司机姐姐,18,38,20,200,10.00
打到黄仁勋在什刹海的迈巴赫了,16,488,472,200,0.42
晚上叫了女性优先，司机说“我女儿也上大学”,2856,3732,876,200,0.23
司机替我说出了“不结婚也没事”,14700,17075,2375,700,0.29
