标题或正文,投前互动量,投后互动量,总互动量,总投放金额,综合CPE
滴滴宠物专车太棒了,2,253,255,200,0.78
强烈推荐在冲绳用滴滴打车！,120,474,594,200,0.34
📷打卡上海高质量宠物友好商圈 EKA 天物,0,41,41,100,2.44
麻麻这么做一定有她的道理！,4,68,72,100,1.39
日本旅游 滴滴打车,16,40,56,100,1.79
冲绳实用攻略20250506D3泊港鱼市场&玉泉洞,12,39,51,100,1.96
认真生活的滴滴司机,1,61,62,100,1.61
宁波🛫冲绳🇯🇵打工人四天三晚旅行日记🌊,102,938,1040,600,0.58
谁懂早高峰打到这种车的救赎感！,2,87,89,100,1.12
救命！！发现它博会隐藏宝藏区 ！🚗,11,30,41,100,2.44
滴滴宠物快车体验,1,90,91,100,1.1
我在雪山下,9,54,63,100,1.59
5块钱在日本打上车了 🚖 感谢滴滴 🙇🏻‍♂️,585,1682,2267,1000,0.44
✨湘潭→长沙一日追星攻略！房东的猫live,4,22,26,200,7.69
你还真别说…,5,173,178,200,1.12
天呐！这是新兴的出行方式吧！,20,56,76,200,2.63
都江堰➡️春熙路，滴滴站点巴士攻略来啦✅,250,284,534,200,0.37
首尔市内凌晨是可以打到计程车的,17,126,143,200,1.4
两个28寸行李箱@函馆DiDi打车实测,20,63,83,200,2.41
被今天的司机车车可爱到！,18,65,83,200,2.41
上海✈️日本自由行APP攻略,10,92,102,200,1.96
滴滴国际版,3,33,36,200,5.56
关于滴滴宠物出行,79,175,254,200,0.79
滴滴宠物专车也有特别棒的司机,8,58,66,200,3.03
终于有人配女司机了！！！,22,124,146,200,1.37
在东京使用滴滴出行国际版的注意事项,8,35,43,200,4.65
滴滴国际版打车攻略,21,55,76,200,2.63
北海道旅行之打车篇,104,171,275,200,0.73
妈妈再也不用担心我打到臭车啦,3,85,88,200,2.27
滴滴打车来泰国啦,96,124,220,200,0.91
在泰国也能用滴滴打车啦，亲测好用！,10,46,56,200,3.57
深圳的滴滴打车有宠物出行服务啦！,0,6,6,200,33.33
滴滴有宠物出行了！,2,40,42,200,4.76
越南胡志明市可以使用滴滴打车了,6,45,51,200,3.92
深夜滴滴打车合肥站转合肥南站共用时25分钟,6,29,35,200,5.71
打到一辆很温暖的滴滴！,2,118,120,200,1.67
司机师傅言语里都是对媳妇儿的赞美,9,126,135,200,1.48
滴滴已为您匹配女司机服务,59,188,247,200,0.81
"这世界破破烂烂，总会有人缝缝补补",3,49,52,200,3.85
真的超级幸运！打滴第一次分配到女司机🤩,574,573,1147,200,0.17
麻麻这么做一定有她的道理！,69,267,336,200,0.6
一些关于滴滴的宠物专车和快车的碎碎念,47,90,137,200,1.46
日本也有滴滴，打车再也不难了,13,70,83,200,2.41
马来西亚用滴滴竟比Grab还便宜,31,64,95,200,2.11
个人在澳洲使用滴滴 和 Uber的感受,3,37,40,200,5
认真生活的滴滴司机,61,243,304,200,0.66
冲绳实用攻略20250506D3泊港鱼市场&玉泉洞,47,77,124,200,1.61
日本旅游 滴滴打车,45,119,164,200,1.22
谁懂早高峰打到这种车的救赎感！,88,297,385,200,0.52
这个世界不能缺女司机,3,147,150,200,1.33
滴滴打车太有意思了,8,100,108,200,1.85
迷死人的滴滴司机,0,0,0,200,
同事问我怎么今天那么早到,11,72,83,200,2.41
🇰🇷韩国旅行|1分钟学会用滴滴打车教程,12,54,66,200,3.03
滴滴app！吉隆坡血省！,651,741,1392,200,0.14
日本打车，不怕司机语言交流不通啦！！,13,13,26,200,7.69
滴滴宠物出行不错诶,17,17,34,200,5.88
打到一个超级香香女司机车的含金量谁懂,3,102,105,200,1.9
开心的一天从遇到幽默的人开始,4,405,409,400,0.98
谢谢你滴滴司机,8,3921,3929,3400,0.87
滴滴打到的女司机，在后排玻璃上挂了遮阳板,3,7632,7635,7600,1
小狗打车,5,3241,3246,3400,1.05
带宝宝出门玩啦,3,3159,3162,2800,0.89
滴滴app可选女司机来接啦🎉🎉🎉,0,180,180,400,2.22
在京都打三次车 一共花了15块钱,135,1478,1613,1800,1.12
日本滴滴国际版初体验,15,223,238,600,2.52
台灣人來大陸旅遊被震驚到了,6206,6608,12814,200,0.02
滴滴司机知道我携带导盲犬后爽快答应,164,2357,2521,2000,0.79
今天打到了很爽的一趟车,45,194,239,600,2.51
滴滴女司机的车，摆满了可可爱爱的公仔和手办，车里淡淡的香味,6,361,367,600,1.63
最爱坐车的小狗,45,656,701,600,0.86
柠檬🚗滴滴被我打到了,2,505,507,600,1.18
"如果觉得生活苦，我请你吃糖",23,423,446,600,1.35
在天津打到了滴滴女司机,21,454,475,600,1.26
司机姐姐好开心，我也好开心,0,504,504,300,0.6
热爱生活的滴滴司机,4,217,221,600,2.71
日本自由行 打车不用愁,2,150,152,600,3.95
能不能多一些女司机！,0,703,703,600,0.85
行李箱落在滴滴车上怎么办？,627,10418,11045,10000,0.91
实名感谢西安韦姓滴滴司机师傅，解我内急,10,307,317,600,1.89
博乐到伊宁不要再包车啦！滴滴城际拼车太便宜了,36,136,172,600,3.49
遇到高素质司机,7,427,434,600,1.38
西双版纳夜游植物园的，看过来🧐,47,201,248,600,2.42
夸奖司机,3,228,231,600,2.6
遇到高素质司机,427,6730,7157,3600,0.5
广州大学生韶关两天一夜｜高性价比攻略,14,118,132,300,2.27
太原宠物友好滴滴测评（业余版,11,298,309,600,1.94
在西双版纳植物园拍到了人生照片📷,23,238,261,600,2.3
女司机的专车香香的,6,428,434,600,1.38
济州岛全程打车，不得不说滴滴打车真优秀啊,601,862,1463,600,0.41
被上海最干净卫生的滴滴师傅拿捏了,397,440,837,1000,1.19
发现一个宝藏交通工具,0,57,57,300,5.26
丽江古城到沙溪古镇滴滴巴士已体验，推荐！,23,301,324,600,1.85
6.14，日照大雾天气晚上，找到了……蓝眼泪,74,412,486,600,1.23
天津出发，两天泉城欧乐堡亲子游,191,391,582,600,1.03
点赞滴滴出行宠物出行服务,2,403,405,600,1.48
有时候遇到好的滴滴司机 真的会被治愈到,0,256,256,600,2.34
我爱滴滴宠物专车,0,1445,1445,1800,1.25
滴滴如何打宠物专车教程（猫版）,2,253,255,600,2.35
滴滴打车上的宠物出行真帮大忙啦,0,328,328,600,1.83
大理～丽江 滴滴站点巴士亲身体验,29,261,290,600,2.07
淡季独行4天｜景德镇+篁岭， 人均1k+玩到爽,13,312,325,600,1.85
广州-深圳低成本通行,4,285,289,600,2.08
感谢滴滴出行无障碍也感谢司机接纳导盲犬,145,448,593,600,1.01
拉布拉多新疆自驾游 大宠物友好酒店合集,130,253,383,600,1.57
太原滴滴车和司机,5,367,372,600,1.61
姐妹们，滴滴这个功能真香了！,5,133,138,600,4.35
济州岛旅行tips｜交通,13,254,267,600,2.25
广州两天一夜| 好吃又好逛路线推荐,1,192,193,600,3.11
🚉太原女生勇闯银基动物王国一日游🕌攻略,27,381,408,600,1.47
滴滴海外版,3,347,350,600,1.71
有爸扛,37,219,256,400,1.56
2025年春节｜昆明+丽江+雪,1,96,97,400,4.12
滴滴司机，你想干什么！！！,0,108,108,400,3.7
📍云南七日游攻略｜比风更自由,17,109,126,400,3.17
版纳刚回 普通人分享成功攻略和热店测评,7,59,66,400,6.06
从今开始本人出行只坐专车,38,213,251,400,1.59
我不允许任何人忤逆你 滴滴,10,117,127,400,3.15
第一次遇到这样的滴滴车哎！,45,249,294,400,1.36
9.9r成都到乐山,1,65,66,400,6.06
韩国首尔打车懒人版攻略,2,201,203,400,1.97
在济州岛可以打滴滴了？？？,3,133,136,400,2.94
济州岛四天三夜打车路线分享🚗,11,195,206,400,1.94
在京都&大阪体验的六种交通方式,10,147,147,400,2.72
大理去丽江的滴滴站点巴士实测，附攻略！,48,241,289,600,2.08
什么！大马居然能用滴滴打车,16,70,86,600,6.98
去济州岛旅游，打车不用再注册kakao了,5,245,250,600,2.4
滴滴开到韩国了？！！！😨,3,289,292,600,2.05
韩国打车也可以用滴滴啦🚗,0,209,209,600,2.87
有的女司机,1,269,270,600,2.22
日本｜打车小技巧,7,276,283,400,1.41
皮卡丘专车,3,142,145,400,2.76
打车遇到女司机降下车窗，让我拍日落…谁懂啊,40,300,340,400,1.18
谁懂！医院候车区居然藏着"小宝箱"！😭,2,72,74,400,5.41
连云港中医院，这波有点领先！,27,96,123,400,3.25
是我要求太低了吗,0,61,61,200,3.28
感谢平台和滴滴司机,35,4815,4850,3200,0.66
女生打车安全（滴滴呼叫女司机篇）,6,4523,4529,3600,0.79
滴滴宠物友好专车,29,361,390,400,1.03
广州体验宠物专车，结果是？,6,68,74,200,2.7
给滴滴巴士点个赞,5,119,124,200,1.61
狗狗能坐滴滴啦🐶,0,2246,2246,2000,0.89
滴滴有专选女司机功能了！,6,894,900,600,0.67
直男坐了女司机开的滴滴后疯狂夸赞,2,367,369,200,0.54
感谢这位滴滴出行的司机师傅！,4,3914,3918,2800,0.71
滴滴 打到快乐了٩(๑^o^๑)۶,201,84,285,200,0.7
滴滴给我配对到了女司机,7,113,120,200,1.67
G-DRAGON 2025吉隆坡世巡超全攻略,251,246,497,500,1.01
在小韩错过末班地铁的后果,549,1592,2141,1000,0.47
车里看到的风景,3,163,166,200,1.2
檀健次代言的滴滴带着30+的我去追檀健次,740,78,818,200,0.24
9年，30城，滴滴成了我的"时光见证者"🚗✨,730,94,824,200,0.24
SBS歌谣大战高阳KINTEX1场馆攻略,227,100,327,500,1.53
🙋🏻‍♀️请问韩国旅游全程用wx/zfb可以吗,317,1289,1606,1000,0.62
滴滴打车呼叫女司机服务真的对女性很友好,4,175,179,200,1.12
我爱滴滴打车的女司机服务！！,6,99,105,200,1.9
福噜日常丨小狗通勤坐到真正的宠物友好车啦,0,78,78,200,2.56
携宠专车来接傻弟弟放学,3,105,108,200,1.85
权志龙 G-DRAGON 雅加达演唱会超全攻略！,153,108,261,200,0.77
G-DRAGON 2025巡演雅加达站｜最全官方指南,242,106,348,200,0.57
ENHYPEN日本巡演大阪场馆攻略,347,129,476,1000,2.1
BLACKPINK 2025 曼谷演唱会攻略！,126,194,320,200,0.63
女司机来啦！我也愿意选她,11,124,135,500,3.7
这世界不能没有女司机！！！,2,265,267,500,1.87
小韩看con出行准备之🚗交通攻略,53,8,61,500,8.2
周末去径山有巴士直达啦！,324,235,559,700,1.25
🇵🇭马尼拉打车懒人版攻略,2,32,34,200,5.88
第一次滴滴打到女司机车 好香啊,2,218,220,200,0.91
滴滴打车，这种表扬有用吗？,0,214,214,200,0.93
为大连司机师傅点赞👍,5,65,70,200,2.86
2025日本关西机场入境懒人版攻略,164,309,473,400,0.85
2025最新！羽田机场丝滑入境攻略,158,208,366,400,1.09
韩国仁川机场，p人闻着味儿就来了,1718,856,2574,1000,0.39
丽江古城到大理古城最方便+便宜的方式,98,259,357,400,1.12
全世界都在讲中国话在此刻具象化了,2,4291,4293,3300,0.77
真是好努力的滴滴,2,177,179,300,1.68
踏上返程，谢谢北京的滴滴司机大姐,5,222,227,300,1.32
太好了是滴滴女司机的车 有救了,7,3171,3178,2300,0.72
🇰🇷韩国仁川机场丝滑入境全攻略,4,78,82,300,3.66
成都熊猫谷｜🐼🐼 欢迎探访大熊猫～,23,122,145,300,2.07
清华教授三百块打赏背后｜滴滴司机体面哲学,19,210,229,300,1.31
滴滴在韩国的广告，也太好笑了。。。,1861,3286,5147,3000,0.58
被这趟巴士治愈了🚌🚌🚌滴滴巴士,1,74,75,300,4
暗爽！ 滴滴打到女司机,7,245,252,300,1.19
看到房主任的痛大巴了！,40,901,941,500,0.53
挑战全网最全喜单2决赛0811repo,40,666,706,500,0.71
女司机就跟天使一样的存在,1,117,118,300,2.54
这个滴滴师傅怎么这样,1,175,176,300,1.7
别被坑了！浏阳烟花大巴往返只要48,52,292,344,500,1.45
吹爆滴滴的呼叫女司机功能,23,817,840,500,0.6
感觉坐滴滴,6,411,417,500,1.2
滴滴打香香车的方法,1,139,140,500,3.57
广州去清远才13.9r,99,2479,2578,1500,0.58
滴滴站点巴士 丽江——大理,19,144,163,500,3.07
当你滴滴打到女司机……,12,436,448,500,1.12
滴滴宠物出行檀健次来守护,8,200,208,500,2.4
滴滴宠物出行专车太方便啦,1,128,129,500,3.88
从桂林市区去阳朔，强推这个滴滴站点巴士,40,297,337,500,1.48
滴滴6座专车大屏打卡,2,93,95,500,5.26
发现用滴滴打到的车香香的,5,71,76,200,2.63
🚕滴滴出行可以选择女司机啦,2,129,131,200,1.53
仅需14.9 成都到雅安站点巴士开通,553,168,721,500,0.69
滴滴巴士温暖瞬间,7,107,114,500,4.39
大理去丽江的滴滴巴士注意事项,0,495,495,700,1.41
在车里种花的快乐谁懂啊～,0,47,47,200,4.26
偶遇一家三口,0,224,224,200,0.89
滴滴站点巴士：龙泉——天府机场,0,117,117,200,1.71
在长沙打到的最干净的滴滴（中年二次元版）,38,197,235,200,0.85
一出地铁看到檀健次大屏！！和狗狗合影！可爱,239,129,368,200,0.54
超有爱的檀健次。。。。。。宠物友好。。。。贴贴。。,39,39,39,200,5.13
要坐上滴滴出行一起出发吗？,2,8,10,200,20
滴滴一下，想去的生活正在路上,12,57,69,200,2.9
感觉师傅很厉害,2,81,83,200,2.41
婺源-篁岭didi站点巴士攻略（含老北站上车点,49,49,49,200,4.08
滴滴宠物出行丝滑体验,3,104,107,200,1.87
滴滴开放日,2,35,37,200,5.41
滴滴宠物出行一年啦,3,18,21,200,9.52
昨天在广州搭滴滴！,0,143,143,200,1.4
聋哑人司机-滴滴 好评,2,119,121,200,1.65
打到"会呼吸"的车 司机一句话让我破防,8158,2429,10587,2000,0.19
川农雅安到成都长方便的大巴！,78,86,164,500,3.05
正式为滴滴宠物出行体验监督员啦,3,35,38,500,13.16
滴滴宠物专车体验不错,14,2651,2665,3500,1.31
本人近日出差来沪,6,374,380,500,1.32
海淀马拉松领物,80,63,143,500,3.5
北京人真好，再也不破防了。,81,81,81,200,2.47
2025海淀马拉松安全完赛,30,119,149,200,1.34
在崩溃的边缘，与自己和解,50,125,175,200,1.14
海马完赛｜新挑战完成，全马跑进430！（经验贴）,38,181,219,500,2.28
生活的每一程都值得全力奔跑,6,148,154,200,1.3
海马安全完赛,6,89,95,200,2.11
海淀马拉松顺利完赛,15,78,93,200,2.15
最新报道｜72岁大爷陪我完成人生首马🩵,239,137,376,200,0.53
桂林到阳朔最佳出行方式！,38,58,96,200,2.08
丽江去大理，坐滴滴巴士！亲测！,25,124,149,200,1.34
长假结束啦 小狗终于可以回家了呜呜呜,2,120,122,200,1.64
关于被滴滴司机温暖到的瞬间,1,80,81,200,2.47
滴滴的香卡太好看了！！！,79,86,165,200,1.21
女性的安全真正被关注到了,169,169,169,500,2.96
济州岛打车有救了,54,206,260,500,1.92
被滴滴司机的仪式感治愈了!,108,119,227,500,2.2
用心服务，真诚待客,1,57,58,200,3.45
暖心！滴滴师傅竟备齐了这些 "出行神器",0,46,46,200,4.35
听说北京的秋天这周末就结束了,6,48,54,200,3.7
生活里的微小喜悦。,3,41,44,200,4.55
滴滴司机的车内仪式感,101,261,362,500,1.38
心寒！曹操最高等级用户转滴滴的理由是,9,22,31,200,6.45
滴滴车上一次触动,3642,174397,204105,36000,0.18
在网约车上看到了不同的人生,245,2405,2650,2500,0.94
在北京遇到了这样的司机，运气爆棚,8,110,118,200,1.69
希望能打到更多女司机的滴滴,6,112,118,200,1.69
乐山的滴滴司机也是在认真经营的,11,96,107,200,1.87
滴滴车上的一次触动,2,88,90,200,2.22
打工人的治愈时刻，是DD司机给的🌼,0,102,102,200,1.96
